Session Title	Session Level	Session Abstract
Will The ReAL ReST Please Stand Up?	200	This is not meant to be a "You're not ReSTful, I Am" type of session, it's merely meant to inform. I built "ReSTful-ish" services for a long time, and sometimes that's good enough. But I missed out on some of the benefits of REALLY ReSTful APIs and, specifically, the hypermedia aspects of the ReST proposal. In this session we will talk about Dr. Fielding's dissertation and the benefits of adhering to the proposal of Representational State Transfer, and when pragmatism should win.
Good agile, Bad Agile.	200	There's been a lot of talk recently about Agile software development. As people try to make the transition, they generally find themselves stumbling and maybe even giving up on Agile altogether. In this session we will discuss what Agile is, and what it isn't. Most importantly how to chose the "flavor" that is right for your organization, and how to get started.
Developer Level-Up	200	You've been writing software for a little while now, and feel like you're missing that vital piece (or pieces) that will get you to that next level. We'll talk about the things that high-level (read highly paid) software developers do that helps them to: stay ahead of the trends, find their niche, make themselves known and manage their personal brand. If you're a junior or mid-level developer looking to level-up your career, this is the session.
A Whirlwind Tour of Xamarin	100	Xamarin allows C# developers to target multiple platforms with the language and tools they love. Whether you’re looking to build cross-platform mobile applications targeting iOS and Android or if you are hoping to build the next great Mac application, Xamain has you covered. In this session, I’ll briefly cover where Xamarin came from (believe it or not it has been around since 2009!) and where it’s heading before launching into a tour of its features and workflows. I’ll show you how to use Xamarin Studio and Visual Studio to build iOS and Android applications. You’ll leave with enough knowledge to decide for yourself (or convince your boss!) that Xamarin is right for your project.
Using Xamarin.Forms to Create Cross-Platform Apps	100	Xamarin.Forms is an exciting new feature of the Xamarin platform that enables developers to target multiple mobile UI platforms from a single codebase. Code written for the user interface of the application will be translated to the proper native controls for the target platform. In this session, I'll introduce you to the basics of Xamarin.Forms. I'll also show some of the extensibility points that will make it possible for you to create your own Xamarin.Forms controls. You'll leave with the knowledge necessary to create native cross-platform apps that have a maximum level of code re-use.
Creating Single Page Applications with Ember.js	100	Ember.js is a new client-side application framework that makes it very easy to get a lot accomplished with very little code.  Once you understand the basics of how Ember.js handles MVC (it's a little different from server-side MVC!) and routing, you will enjoy the productivity boosts the framework offers you.  In this session I'll introduce you to Ember.js basics, how to handle data, and how to use Handlebars templating to build your application.  Upon leaving the session, you'll be ready to join Groupon and Square and many other companies using this hot new framework! 
What Have I Done?!	100	Do you have trouble staying focused on the task at hand?  Have you ever made it to 11AM and realized the only thing you have accomplished is reading emails and checking up on Twitter?  If so, you may just need to introduce some simple hacks into your lifestyle.  In this session, I'll discuss some very easy to implement tips and tricks that can help jolt you from unproductive and wandering through your day to a more focused and in control lifestyle.
Front End Design Patterns: SOLID CSS + JS for Backend Developers	100	As backend developers, we spent years perfecting and implementing the various patterns we use. These patterns allow us to exploit previous pain and experience, resulting in improved robustness of our code and increased efficiency of the coding process. At the same time we are finding it harder and harder to avoid working in the browser, and making unique and compelling end user experiences. With the experience we now have with client, similar benefits of using design patterns can be gained here.  Join Anthony van der Hoorn, as we look at what design patterns exist on the client and how we can use them. Once you know what patterns are at your disposal, you will start writing better code, that's more maintainable and easier to read.
Beyond NuGet: Front End Package Management with Bower	100	ackage managers are becoming a way of life. For years now we have been using NuGet and have gained significant benefits within our applications and development process. That said, most of these benefits have trended towards server side improvements, rather than client side ones. Even though client focused packages do exist NuGet, they have never really been at home.  Join Anthony van der Hoorn, as we look at what solutions have taken off in the front end development community for package management. We will be looking closely at Bower, NPM and more. We will see how these can be used within our existing .Net projects and what the differences are between NuGet and these other options.
Modern Web Diagnostics with a Glimpse into ASP.NET	100	With the state of diagnostics on the web being what it is, we currently have to do a job that is much harder than it should be. Too often, the tools we are provided with only show a small part of the picture, leaving us to guess what else might be happening behind the scenes. Glimpse is an open source project that aims to change the way we think about diagnostics and the frameworks we interact with.   After releasing Glimpse at Mix 11, Glimpse has become a tool that is used daily by tens of thousands of developers around the world. In this session, youíll learn how to use Glimpse to reveal a complete picture of what is happening within your ASP.NET MVC and WebForms sites, discover what tools are included out of the box, and see how you can easily extend it to suit your needs.
Full Stack Web Performance	200	Modern users expect more than ever from web applications. Unfortunately, they are also consuming applications more frequently from low bandwidth and low power devices – which strains developers not only to nail the user experience, but also the application’s performance.  Join Nik Molnar, co-founder of the open source debugging and diagnostics tool Glimpse, for an example-driven look at strategies and techniques for improving the performance of your web application all the way from the browser to the server.  We’ll cover how to use client and server side profiling tools to pinpoint opportunities for improvement, solutions to the most common performance problems, and some suggestions for getting ahead of the curve and actually surpassing user’s expectations.
Introducing Nonacat (Guerilla Hacking an Extra Arm onto GitHub)	100	GitHub, as instrumental as it is, knows that they cannot possibly offer a one-size-fits-all service that meets the needs to every OSS project. With that in mind, come join Nik Molnar, co-founder of Glimpse, for a session on how to extend GitHub by leveraging their API’s, cutting edge web technologies and free/open source tools to provide users, contributors and project maintainers with a better overall experience.  This session is not about Git itself and is suitable for OSS project maintainers and all users of GitHub.
Azure Web Sites Secrets, Exposed!	100	Microsoft’s premier cloud solution for custom web applications, Windows Azure Web Sites, has brought the DevOps movement to millions of developers and revolutionized the way that servers are provisioned and applications deployed.  Included with all the headline functionality are many smaller, less-known or undocumented features that serve to greatly improve developer productivity. Join Microsoft MVP and veteran web developer Nik Molnar for a whirlwind tour of these secret features and enhance your cloud development experience. 
How to be a Six Figure Developer	300	Software and website developers are in extremely high demand and rates continue to climb, but many developers have not yet realized their potential. In this talk we lay out some simple and proven ways to measure your accomplishments, establish a personal brand, and increase your value to employers.
Application Services Governance	100	API Management and SOA Governance are converging into a consolidated space called Application Services Governance. In this session we will provide an overview of these concepts and illustrate how they can provide agility, cost efficiency, risk management and stability for your company.
Build a MVC5 eCommerce Site in 5 Minutes	200	For those of us who have spent most of our careers building business applications, the prospect of creating an e-commerce storefront can be quite daunting. Not only do you have to deal with calculating tax, estimating shipping and accepting payments, but employees need a way to manage products, discounts and marketing content. Thankfully, there's an open source e-commerce solution written in Microsoft ASP.NET MVC5 named nopCommerce that provides all this functionality and much more. I was so impressed by both the functionality and the underlying architecture that I've created a presentation which I believe will serve as a great introduction to MVC as well as a tutorial on developing custom storefronts using nopCommerce. We start off with a brief overview of basic MVC concepts accompanied by examples within the nopCommerce code. This includes strongly typed Razor views, HTML helpers, jQuery ajax calls, and fluent validation. Once everyone understands how the website works, we dive into the infrastructure by introducing WCF services, using a generic repository with Entity Framework(EF4) and LINQ, as well as Dependency Injection (DI) with Automapper.
Introducing ASP.NET vNext – The Future of .NET on the Server	200	In this session, ASP.NET MVP Jeff Fritz will introduce you to the next version of ASP.NET.  He will show you how Microsoft is decoupling ASP.NET, making it easier to build modular applications.  We’ll see how the world of NuGet and lightweight VMs enable you to build faster and simpler web applications.  This session will change the way you look at ASP.NET, and you’ll be ready for the next generation of web development, today.
Build your first mobile app with Cordova and Telerik AppBuilder	200	Mobile has taken over, and you are still programming a line of business application for your employer. How can you get started building a mobile application that will run on your favorite device without learning a brand new programming language and getting involved with device vendors? In this session, I will introduce Apache Cordova (Adobe Phonegap) and the Telerik AppBuilder product. You will learn how to leverage your HTML5 and JavaScript skill set to build applications that will run on any iOS, Android, or Windows Phone device and can be uploaded to any store.
Mobile ASP.Net Web Forms - Making the impossible possible	200	In this session, I will show you how to take your bland ASP.Net web application and make it available in a form factor for mobile browsers without re-writing your entire application.  I will also show you how to scale your application for tablets, and handle all of the functionality in a DRY manner.  Key take-aways from this session will include: * Ability to adapt your existing application to handle phone and tablet screen sizes * Ability to re-use logic in your current application in new form factors * Knowledge and comfort around testing your web application for various device screen sizes
Cool, Elegant, and Practical ASP.Net Web Forms	200	More than 10 years after the initial release of ASP.Net, the web forms framework is still alive and kicking butt.  I’ll show you the latest features and tricks that are available when creating web applications with ASP.Net web forms 2012.2  I’ll also show you some of the beta tools that are available, including the new web forms scaffolding engine.  Attendees will learn to leverage all of the latest tools to make their coding experience simpler, shorter, and more enjoyable.
Take Your ASP.NET Web Forms to the SPA	200	In 2014 JavaScript has taken over the web and is a factor in how we build and deliver web applications. This session will show you how to start using these modern JavaScript libraries like Modernizr, Knockout, and Angular to make your web forms application feel faster and better on mobile devices. We&rsquoll bring modern single-page-application architecture into a legacy web forms application and refresh our application in place, without distracting from the existing featureset.  *Developers will be introduced to several modern JavaScript tools including Angular and GruntJS *Developers will learn how to use JavaScript libraries to migrate their application to a compelling client-side experience with their existing web forms applications
An Introduction to Visual Studio Online	100	Visual Studio Online (VSO) is a cloud-based version of Visual Studio Team Foundation Server (TFS). Like TFS, with VSO, you can management your Application Lifecycle Management (ALM) process which includes source code control, team collaboration, agile development practices, work item management & continuous integration via automated builds. Unlike TFS, with VSO, you don’t need to worry about installation and configuration because VSO is a PaaS offering in Microsoft Azure.  This session introduces you to VSO’s fundamentals so that you can immediately begin working with VSO to make your ALM efforts more productive.
Introduction to Javascript Unit Testing	200	JavaScript is increasingly taking on a more prominent role in .NET-based applications. In spite of that, JavaScript testing is not a discipline that is widely embraced. An often cited reason is that it is very difficult to write well organized and testable JavaScript code. If you have struggled with JavaScript, John will introduce you to techniques and tools that will make it easier for you to write testable JavaScript code and JavaScript Tests. John will introduce you to two tools: 1 - the jQuery QUnit JavaScript unit testing library and 2 - sinonJS, which is a JavaScript mocking library. John has created a custom Visual Studio project template that has been optimized to make writing and running JavaScript tests in Visual Studio as easy as writing other unit tests. 
  High Speed Entity Framework with ASP.NET MVC	200	  The latest version of Entity Framework introduced significant improvements to the point that Entity Framework is now the unquestionable ORM of choice for .NET developers. In this fast paced session, we start with a simple application built using ASP.NET MVC 5 and Entity Framework 6. We will evolve that application to show some common pitfalls and explore solutions that illustrate how we can support real world scenarios and build high performance, scalable web applications. Topics covered will include database initialization, async queries, performance profiling, performance tuning and connection pooling. 
  Modern Web Development with Visual Studio 2013 and Web Essentials	200	In this action packed session, we will take a tour of the tools available for modern web developers in Visual Studio 2013 and Visual Studio Web Extensions.  JSHint, LESS, SASS, CoffeeScript, JSLint, Angular, Minification, Bundling, Markdown, Node.js, Chrome, FireFox and much more: The depth and breadth of functionality available is likely to surprise you. 
Messaging Patterns in Microsoft Azure	200	There are numerous reasons why asynchronous messaging should be introduced in applications, as well as many approaches in incorporating messaging subsystems.  In some cases intensive workloads need to be pushed to back end processing, or perhaps specialized (and perhaps expensive) resources need to be utilized to perform certain operations.   In this talk we'll cover several scenarios where introducing messaging can help, discuss a few messaging patterns, as well as look at abstracting your messaging subsystem to guard against evolving technology and designs.  While examples will be given using Azure Storage Queues and Service Bus Brokered Messaging the concepts can be applied to cloud and on-premises solutions on just about any platform. 
Be a Better Dev	100	As a developer, you end up wearing a lot of different hats: researcher, designer, janitor, mediator, teacher, student… the list can go on.  Likely, you juggle these hats almost every day... and we haven't even mentioned writing a line of code yet. Most talks focus on a given technology or tool: some resource that you can use.  This talks focuses on how to improve the best resource you have: YOU. Come hear how you can improve yourself by learning, teaching - and yes - even being lazy.
Team Foundation Server 2013 Release Management	200	Team Foundation Server 2013 provides a comprehensive ALM solution from portfolio management through development, testing, build automation and now, release management.  This has been a missing piece in Microsoft's ALM solution, but with 2013, you can now configure, approve and deploy your applications for any environment.    In this session, we will walk through how to configure and deploy your application to multiple environments; even to the cloud using Team Foundation Server 2013 Release Management.  We will see how to schedule and trigger a build to kick off a deployment, enable approvers to schedule each promoted release, and to visualize your release pipeline. 
